mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3343.6425198554994,11.986774697138467,0.39664883613586427,0.08447257090277556,0.3,5,125,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 125}",0.9303571428571429,0.9116071428571428,0.9392857142857143,0.9241071428571429,0.93125,0.9273214285714285,0.009220236173875422,7
3987.9107381820677,18.626388851549226,0.4524777889251709,0.1838635777788046,0.3,5,150,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 150}",0.9303571428571429,0.9125,0.9339285714285714,0.9214285714285714,0.9339285714285714,0.9264285714285714,0.00832993127835045,15
2412.0822571277617,6.75791712736316,0.15384135246276856,0.0312899803945836,0.3,6,75,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 75}",0.9285714285714286,0.9107142857142857,0.9321428571428572,0.9223214285714286,0.9285714285714286,0.9244642857142857,0.007567721464434689,32
3201.537344789505,16.11566857657328,0.2602264881134033,0.08479565334731416,0.3,6,100,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100}",0.9276785714285715,0.9107142857142857,0.9330357142857143,0.9232142857142858,0.9294642857142857,0.9248214285714285,0.0077303074363976425,29
3978.553851413727,14.893862421194566,0.2620689868927002,0.1211235509158453,0.3,6,125,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 125}",0.9276785714285715,0.9169642857142857,0.9348214285714286,0.9169642857142857,0.9303571428571429,0.9253571428571428,0.007222767291484557,22
4793.818419885635,20.538219715488154,0.3980208396911621,0.1004222074894925,0.3,6,150,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 150}",0.93125,0.9151785714285714,0.9285714285714286,0.9285714285714286,0.93125,0.9269642857142859,0.006013377943029571,9
1175.9325557231903,8.515261401739371,0.1376884937286377,0.016317364763753485,0.2,3,75,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 75}",0.9258928571428572,0.9142857142857143,0.9285714285714286,0.9196428571428571,0.9276785714285715,0.9232142857142858,0.005445696672134641,39
1558.7144431591034,11.316984232162675,0.1339810848236084,0.011057687736563692,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9276785714285715,0.9169642857142857,0.9330357142857143,0.9241071428571429,0.9321428571428572,0.9267857142857142,0.005868455973269653,11
1961.4373670101165,9.22756026212713,0.3309525489807129,0.09769578067521312,0.2,3,125,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 125}",0.9330357142857143,0.9178571428571428,0.9357142857142857,0.925,0.9294642857142857,0.9282142857142857,0.006303343783829582,3
2340.2956408023833,6.709006408085403,0.29517340660095215,0.11356662431898484,0.2,3,150,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.9294642857142857,0.9196428571428571,0.9348214285714286,0.9241071428571429,0.9294642857142857,0.9275,0.0051877996594049975,5
1582.493381357193,2.417742557238176,0.21716737747192383,0.08074355915645515,0.2,4,75,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 75}",0.9285714285714286,0.9089285714285714,0.93125,0.9267857142857143,0.9294642857142857,0.925,0.008163663893330344,27
